0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/tpl/cloud.html?_=1402249675640 HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/img/ico/folder-tree.png HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/img/ico/molecule.png HTTP/1.1" 200 1657
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/img/ico/download-cloud.png HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/img/ico/asterisk.png HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/zookeeper?wt=json&_=1402249675659 HTTP/1.1" 200 27837
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/zookeeper?wt=json&path=%2Flive_nodes&_=1402249675870 HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:47:55 +0800] "GET /solr/zookeeper?wt=json&detail=true&path=%2Fclusterstate.json&_=1402249675877 HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1402249685208 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/admin/info/system?wt=json&_=1402249685222 HTTP/1.1" 200 2793
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/tpl/cloud.html?_=1402249685259 HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/zookeeper?wt=json&_=1402249685266 HTTP/1.1" 200 27837
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/zookeeper?wt=json&path=%2Flive_nodes&_=1402249685456 HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:05 +0800] "GET /solr/zookeeper?wt=json&detail=true&path=%2Fclusterstate.json&_=1402249685462 HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:22 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:22 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:23 +0800] "GET /solr/img/favicon.ico?_=4.8.1 HTTP/1.1" 200 7782
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:23 +0800] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:48:23 +0800] "GET /apple-touch-icon.png HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:05 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /asf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:06 +0800] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:01:49:31 +0800] "GET /solr/collection1/select?q=*%3A*&wt=json&indent=true&_=1402249654570 HTTP/1.1" 500 5090
171.104.167.127 - - [09/Jun/2014:02:22:22 +0800] "GET / HTTP/1.0" 200 11228
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET / HTTP/1.1" 200 11248
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /tomcat.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /tomcat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /bg-nav.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /asf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:01 +0800] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:10 +0800] "GET /solr/ HTTP/1.1" 200 5892
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:11 +0800] "GET /solr/admin/cores?wt=json&indexInfo=false&_=1402253051031 HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:11 +0800] "GET /solr/admin/info/system?wt=json&_=1402253051069 HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:11 +0800] "GET /solr/tpl/index.html?_=1402253051128 HTTP/1.1" 200 6141
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:13 +0800] "GET /solr/tpl/cloud.html?_=1402253053795 HTTP/1.1" 200 2595
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:14 +0800] "GET /solr/zookeeper?wt=json&_=1402253053814 HTTP/1.1" 200 27545
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:14 +0800] "GET /solr/zookeeper?wt=json&path=%2Flive_nodes&_=1402253054051 HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [09/Jun/2014:02:44:14 +0800] "GET /solr/zookeeper?wt=json&detail=true&path=%2Fclusterstate.json&_=1402253054059 HTTP/1.1" 200 2045
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr HTTP/1.1" 302 -
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/ HTTP/1.1" 200 5892
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/common.css?_=4.8.1 HTTP/1.1" 200 13502
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/cores.css?_=4.8.1 HTTP/1.1" 200 4431
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/analysis.css?_=4.8.1 HTTP/1.1" 200 6070
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/cloud.css?_=4.8.1 HTTP/1.1" 200 6666
169.254.81.47 - - [09/Jun/2014:02:44:16 +0800] "GET /solr/css/styles/dashboard.css?_=4.8.1 HTTP/1.1" 200 3455
